proc       sintheta         tanbeta          Mxd          mA           ma           Xsec(pb)    error
bb            0.35             1.0            10           600          250           0.0002537    8.244e-07
bb            0.35             20.0            10           600          150           0.2657    0.001896
bb            0.35             0.5            10           600          350           1.705e-05    9.297e-08
bb            0.35             2.0            10           600          200           0.001809    1.124e-05
bb            0.35             1.0            10           900          400           4.756e-05    1.805e-07
bb            0.35             1.0            10           1400          250           0.0001544    5.18e-07
bb            0.35             10.0            10           600          500           0.004369    1.569e-05
bb            0.1             1.0            10           1000          350           5.897e-06    2.608e-08
bb            0.35             40.0            10           600          300           0.1902    0.0006687
bb            0.35             40.0            10           600          200           0.4729    0.00166
bb            0.35             30.0            10           600          250           0.2025    0.0005374
bb            0.35             1.0            10           500          150           0.0007632    5.21e-06
bb            0.35             0.8            10           600          200           0.0002392    1.761e-06
bb            0.2             1.0            10           1000          350           2.416e-05    1.032e-07
bb            0.35             0.5            10           600          500           2.374e-06    1.024e-08
bb            0.35             1.0            10           500          350           9.274e-05    3.48e-07
bb            0.35             30.0            10           600          150           0.517    0.001905
bb            0.35             1.0            10           1400          450           2.123e-05    1.086e-07
bb            0.35             0.8            10           600          100           0.001067    8.313e-06
bb            0.35             1.0            10           600          100           0.001686    1.299e-05
bb            0.35             1.0            10           1000          500           1.859e-05    7.512e-08
bb            0.35             20.0            10           600          500           0.01061    3.908e-05
bb            0.35             0.5            10           600          150           0.0001572    1.35e-06
bb            0.35             20.0            10           600          200           0.1618    0.0009585
bb            0.35             1.0            10           300          100           0.005262    2.303e-05
bb            0.35             1.0            10           500          250           0.0002818    1.394e-06
bb            0.35             2.0            10           600          500           0.0001257    5.472e-07
bb            0.35             20.0            10           600          400           0.03015    0.0001392
bb            0.35             30.0            10           600          100           1.266    0.01032
bb            0.35             1.5            10           600          300           0.0004235    1.276e-06
bb            0.35             2.0            10           600          150           0.002998    2.152e-05
bb            0.35             1.5            10           600          400           0.000164    6.651e-07
bb            0.35             1.5            10           600          100           0.003884    2.927e-05
bb            0.35             1.0            10           800          500           2.074e-05    7.386e-08
bb            0.35             1.0            10           1000          150           0.0005454    2.45e-06
bb            0.35             1.0            10           1200          150           0.0004961    2.283e-06
bb            0.35             1.5            10           600          200           0.0009572    6.317e-06
bb            0.35             10.0            10           600          200           0.04808    0.0002758
bb            0.35             20.0            10           600          100           0.6286    0.004737
bb            0.35             1.0            10           400          100           0.0021    1.443e-05
